"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6704","Run empty python code-Python","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","1608","Login with empty credentials","edge","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3476","Navigate back to Queue page from editor-Array","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4076","Navigate to Try Editor-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2320","Login with invalid username and valid password","chromium","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3062","Navigate to Queue Operations page","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4935","Run invalid python code-Python","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","25073","Navigate to Practice Questions page","firefox","2026-04-09","failed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","6378","Navigate back to Queue page from editor-Queue Operations","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7712","Run valid python code-Python","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4787","Run empty python code-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2685","Navigate to Queue Operations page","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2218","Login with valid username and invalid password","firefox","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","4788","Run empty python code-Queue Operations","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3236","Navigate to Try Editor-Array","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5416","Run valid python code-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","1830","Login with empty credentials","chromium","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3152","Navigate to Implementation of Queue in Python page","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4887","Run empty python code-Array","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3632","Navigate to Queue Operations page","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2770","Navigate to Implementation using array page","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7935","Navigate to Try Editor-Deque","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2083","Login with valid username and invalid password","edge","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3446","Navigate to Try Editor-Python","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","23582","Navigate to Practice Questions page","chromium","2026-04-09","failed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4518","Run empty python code-Queue Operations","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4201","Navigate to Try Editor-Deque","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2852","Login using valid credentials","chromium","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","7618","Run invalid python code-Array","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7740","Run valid python code-Deque","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7125","Run invalid python code-Python","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4592","Run valid python code-Array","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","1862","Login using invalid credentials","edge","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","4691","Run empty python code-Deque","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2097","Login using invalid credentials","chromium","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","2263","Login with invalid username and valid password","firefox","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","2232","Login using valid credentials","edge","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3885","Navigate to Implementation using array page","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","1809","Login with empty credentials","firefox","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","5576","Run invalid python code-Queue Operations","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7142","Run valid python code-Array","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4768","Run empty python code-Python","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3524","Navigate to Implementation using collections.deque page","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4706","Run valid python code-Queue Operations","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2246","Login using invalid credentials","firefox","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","2624","Navigate to Queue page","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5013","Run invalid python code-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4755","Run invalid python code-Queue Operations","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","6807","Run empty python code-Array","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","6942","Run empty python code-Deque","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4715","Run empty python code-Array","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4437","Login using valid credentials","firefox","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","4081","Navigate back to Queue page from editor-Python","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2187","Login with valid username and invalid password","chromium","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3420","Navigate back to Queue page from editor-Array","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3153","Navigate to Try Editor-Queue Operations","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7171","Run invalid python code-Queue Operations","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","6476","Navigate back to Queue page from editor-Deque","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5782","Run valid python code-Deque","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3432","Navigate to Try Editor-Queue Operations","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","6324","Run valid python code-Array","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","22689","Navigate to Practice Questions page","edge","2026-04-09","failed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5974","Run invalid python code-Deque","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4689","Run invalid python code-Python","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5726","Navigate to Try Editor-Python","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","1698","Login with invalid username and valid password","edge","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","6275","Navigate back to Queue page from editor-Array","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5754","Run invalid python code-Deque","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3199","Navigate to Try Editor-Python","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2640","Navigate to Queue page","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2962","Navigate to Implementation using collections.deque page","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7615","Run valid python code-Queue Operations","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5597","Navigate back to Queue page from editor-Python","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5238","Run valid python code-Python","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2988","Navigate to Implementation using array page","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5766","Navigate to Try Editor-Array","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4284","Navigate to Try Editor-Array","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4344","Navigate back to Queue page from editor-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4283","Navigate back to Queue page from editor-Deque","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4633","Run valid python code-Queue Operations","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4922","Run valid python code-Python","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4179","Navigate back to Queue page from editor-Queue Operations","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5838","Navigate to Try Editor-Queue Operations","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5598","Run invalid python code-Array","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4541","Navigate back to Queue page from editor-Queue Operations","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","6033","Run empty python code-Python","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3030","Navigate to Implementation of Queue in Python page","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4936","Navigate back to Queue page from editor-Python","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3582","Navigate to Implementation using collections.deque page","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3663","Navigate to Implementation of Queue in Python page","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5745","Run empty python code-Queue Operations","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2943","Navigate to Queue page","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5401","Run invalid python code-Array","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
